Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
105.0,HDFCAMC,HDFC Asset Management Company Limited,8014402.844
106.0,MAXHEALTH,Max Healthcare Institute Limited,7968709.833191999
107.0,SOLARINDS,Solar Industries India Limited,7946610.4049625
108.0,MOTHERSON,Samvardhana Motherson International Limited,7935189.419586
109.0,INDUSTOWER,Indus Towers Limited,7846308.929925
110.0,POLYCAB,Polycab India Limited,7608988.433
111.0,OFSS,Oracle Financial Services Software Limited,7603997.167106999
112.0,SRF,SRF Limited,7589216.5820625
113.0,IRCTC,Indian Railway Catering And Tourism Corporation Limited,7437600
114.0,COLPAL,Colgate Palmolive (India) Limited,7371762.631119
115.0,LUPIN,Lupin Limited,7366575.185656
116.0,NAUKRI,Info Edge (India) Limited,7235159.9904
117.0,TIINDIA,Tube Investments of India Limited,7226559.5889759995
118.0,INDIANB,Indian Bank,7013641.449066999
119.0,HINDPETRO,Hindustan Petroleum Corporation Limited,6747325.2029925
120.0,BERGEPAINT,Berger Paints (I) Limited,6680443.403382
121.0,YESBANK,Yes Bank Limited,6673733.760208
122.0,TORNTPOWER,Torrent Power Limited,6526535.618328
123.0,OIL,Oil India Limited,6509142.176985
124.0,SBICARD,SBI Cards and Payment Services Limited,6490372.8575345
125.0,IDEA,Vodafone Idea Limited,6450076.1996875
126.0,MARICO,Marico Limited,6434161.722736
127.0,GODREJPROP,Godrej Properties Limited,6395231.943474
128.0,AUROPHARMA,Aurobindo Pharma Limited,6379406.6054875
129.0,UCOBANK,UCO Bank,6241010.167872
130.0,BANKINDIA,Bank of India,6239431.310353001
131.0,PERSISTENT,Persistent Systems Limited,6138199.275
132.0,MUTHOOTFIN,Muthoot Finance Limited,5943399.410192
133.0,NMDC,NMDC Limited,5912497.302375
134.0,ALKEM,Alkem Laboratories Limited,5908902.3
135.0,PIIND,PI Industries Limited,5867774.072709001
136.0,LTTS,L&T Technology Services Limited,5797937.573613
137.0,GICRE,General Insurance Corporation of India,5785134
138.0,TATACOMM,Tata Communications Limited,5729640
139.0,JSL,Jindal Stainless Limited,5718341.496366
140.0,MRF,MRF Limited,5657148.2574105
141.0,SAIL,Steel Authority of India Limited,5545230.2004825
142.0,PGHH,Procter & Gamble Hygiene and Health Care Limited,5495099.463392
143.0,SUZLON,Suzlon Energy Limited,5495023.127984
144.0,LINDEINDIA,Linde India Limited,5465737.9257355
145.0,SUPREMEIND,Supreme Industries Limited,5376031.19214
146.0,CONCOR,Container Corporation of India Limited,5374585.443708
147.0,OBEROIRLTY,Oberoi Realty Limited,5366223.6147645
148.0,ASTRAL,Astral Limited,5349035.3167125
149.0,IDFCFIRSTB,IDFC First Bank Limited,5330722.585162
150.0,RVNL,Rail Vikas Nigam Limited,5273015.8329
151.0,BHARATFORG,Bharat Forge Limited,5259289.1870720005
152.0,CENTRALBK,Central Bank of India,5191201.780336
153.0,JSWINFRA,JSW Infrastructure Limited,5152353.8446345
154.0,POLICYBZR,PB Fintech Limited,5072654.94402
155.0,ASHOKLEY,Ashok Leyland Limited,5028460.46015
156.0,THERMAX,Thermax Limited,4995449.14305
157.0,PHOENIXLTD,The Phoenix Mills Limited,4972549.755816
158.0,GMRINFRA,GMR Airports Infrastructure Limited,4925331.3444
159.0,TATAELXSI,Tata Elxsi Limited,4848314.26866
160.0,PATANJALI,Patanjali Foods Limited,4844939.112552
161.0,SJVN,SJVN Limited,4770771.34245
162.0,PRESTIGE,Prestige Estates Projects Limited,4690081.3518
163.0,ACC,ACC Limited,4679095.232171
164.0,NYKAA,FSN E-Commerce Ventures Limited,4623971.1098879995
165.0,SUNDARMFIN,Sundaram Finance Limited,4598255.45382
166.0,UBL,United Breweries Limited,4589941.1840655
167.0,ABCAPITAL,Aditya Birla Capital Limited,4560332.913008
168.0,MPHASIS,MphasiS Limited,4511861.861531501
169.0,BALKRISIND,Balkrishna Industries Limited,4479835.902465
170.0,DIXON,Dixon Technologies (India) Limited,4474206.6440375
171.0,MAHABANK,Bank of Maharashtra,4415236.4639165
172.0,KALYANKJIL,Kalyan Jewellers India Limited,4406566.977845999
173.0,SCHAEFFLER,Schaeffler India Limited,4394243.226545
174.0,AWL,Adani Wilmar Limited,4177167.03647
175.0,APLAPOLLO,APL Apollo Tubes Limited,4151628.7151579997
176.0,TATATECH,Tata Technologies Limited,4140253.01718
177.0,SONACOMS,Sona BLW Precision Forgings Limited,4139985.957695
178.0,KPITTECH,KPIT Technologies Limited,4074873.5621120003
179.0,FACT,Fertilizers and Chemicals Travancore Limited,4063288.4607329997
180.0,PSB,Punjab & Sind Bank,4049727.4020825
181.0,PETRONET,Petronet LNG Limited,3948000.2316159997
182.0,L&TFH,L&T Finance Holdings Limited,3938748.040575
